,IndexX,IndexY,ImageX,ImageY,R,oldG,oldB,RX,RY,Well_ID,Hash,G,B
119,8,1,590,347,1408.624,1346.2400000000002,21435.367999999995,590.0,347.0,193.0,-8822300284080752103,917.5326400000004,21341.131199999996
120,8,1,265,596,21127.344,4177.44,9263.776000000002,265.0,596.0,249.0,-8822300284034150143,3992.1644799999995,8971.355200000002
122,8,1,262,856,18194.960000000006,3426.6800000000007,7679.852000000001,262.0,856.0,197.0,-8822300284085412299,3273.0829600000006,7439.9844
123,8,1,787,837,15869.336000000001,5705.24,5139.643999999999,787.0,837.0,170.0,-8822300283979392840,5602.44712,4740.2771999999995
124,8,1,644,834,1241.1279999999997,1233.04,19563.872,644.0,834.0,217.0,-8822300284071431711,841.7625599999999,19477.5592
125,8,1,379,834,1701.84,1683.8000000000004,26725.903999999995,379.0,834.0,269.0,-8822300284467548371,1149.2819200000004,26608.037999999993
126,8,1,146,835,240.79999999999998,12836.840000000002,15538.544000000004,146.0,835.0,50.0,-8822300284100557936,12526.069120000002,14639.965200000002
128,8,1,172,830,239.45599999999996,13445.960000000003,16060.715999999999,172.0,830.0,60.0,-8822300284112208426,13124.745680000004,15119.498799999998
129,8,1,587,812,19688.48,3697.7599999999998,8079.420000000001,587.0,812.0,13.0,-8822300284169295827,3536.1715999999997,7820.576800000001
130,8,1,232,810,20251.336000000003,3855.84,8670.476,232.0,810.0,35.0,-8822300284120363769,3682.43048,8400.567200000001
131,8,1,350,809,285.76800000000003,14776.399999999998,17325.311999999998,350.0,809.0,138.0,-8822300284016674408,14429.893759999997,16290.963999999998
132,8,1,910,807,17311.784,3355.5199999999995,7430.088000000002,910.0,807.0,99.0,-8822300284194926905,3206.9182399999995,7195.201600000001
133,8,1,441,807,275.01599999999996,15193.32,17881.484,441.0,807.0,227.0,-8822300284045800633,14835.69032,16817.9516
135,8,1,322,785,19497.072,3840.36,8593.364,322.0,785.0,102.0,-8822300284198422052,3668.49272,8324.5388
136,8,1,558,783,21048.384000000002,4077.1200000000003,8959.952,558.0,783.0,199.0,-8822300284087742397,3897.9209600000004,8674.5536
139,8,1,760,782,20148.071999999996,3918.0799999999995,8637.972,760.0,782.0,12.0,-8822300284168130778,3745.3205599999997,8363.7064
140,8,1,27,782,224.448,12281.399999999998,14974.008,27.0,782.0,272.0,-8822300284433761950,11981.919839999999,14114.31
141,8,1,292,781,22770.719999999998,4385.280000000001,10113.164000000002,292.0,781.0,195.0,-8822300284083082201,4183.0167200000005,9806.194400000002
142,8,1,204,781,16693.376,6044.08,5655.628000000001,204.0,781.0,124.0,-8822300284186771562,5930.96744,5232.5424
143,8,1,470,780,278.76800000000003,13840.4,16577.515999999996,470.0,780.0,41.0,-8822300284127354063,13508.84968,15608.687999999996
144,8,1,352,780,20902.840000000004,3989.1599999999994,8988.784000000001,352.0,780.0,61.0,-8822300284113373475,3809.384319999999,8709.542800000001
145,8,1,939,779,16659.944,3235.5999999999995,7194.6720000000005,939.0,779.0,230.0,-8822300284049295780,3091.7065599999996,6968.18
146,8,1,290,758,17258.528000000002,6370.000000000001,5944.491999999999,290.0,758.0,195.0,-8822300284083082201,6251.110160000001,5498.591999999999
147,8,1,757,758,21385.896,4041.44,9162.320000000002,757.0,758.0,12.0,-8822300284168130778,3858.1936,8879.419200000002
150,8,1,144,857,17510.584,3341.72,7670.876,144.0,857.0,50.0,-8822300284100557936,3188.30248,7436.9556
151,8,1,618,860,212.74399999999997,14002.16,16433.492000000002,618.0,860.0,152.0,-8822300283995703526,13673.49016,15453.340800000002
152,8,1,351,912,246.79199999999997,13663.640000000001,16380.384,351.0,912.0,130.0,-8822300284007354016,13336.032320000002,15423.9292
153,8,1,27,597,18954.991999999995,3728.64,8205.492,27.0,597.0,89.0,-8822300284220557983,3564.53016,7944.4872000000005
155,8,1,789,965,15448.439999999999,2854.48,6430.419999999999,789.0,965.0,65.0,-8822300284229878375,2725.8716,6230.606399999999
157,8,1,381,961,232.06400000000002,12418.480000000001,15210.716,381.0,961.0,25.0,-8822300284145994847,12114.265680000002,14341.4224
158,8,1,142,938,16643.032000000003,3148.0000000000005,7151.763999999998,142.0,938.0,53.0,-8822300284104053083,3004.9647200000004,6931.403999999999
160,8,1,408,936,16297.344,5903.080000000002,5521.192,408.0,936.0,15.0,-8822300284171625925,5792.656160000001,5107.9764
161,8,1,411,914,248.07999999999998,14754.64,17649.059999999998,411.0,914.0,15.0,-8822300284171625925,14401.6588,16616.2352
164,8,1,468,860,17044.216,6036.840000000001,5547.372,468.0,860.0,38.0,-8822300284123858916,5925.892560000001,5124.7932
166,8,1,555,910,15982.848,5817.679999999999,5327.12,555.0,910.0,93.0,-8822300284225218179,5711.137599999999,4919.8823999999995
167,8,1,262,909,16250.696000000002,5855.240000000001,5438.980000000001,262.0,909.0,172.0,-8822300283981722938,5746.460400000001,5029.113200000002
168,8,1,203,908,16251.423999999999,3145.3200000000015,7048.200000000002,203.0,908.0,18.0,-8822300284137839504,3004.3560000000016,6828.027600000001
169,8,1,557,886,17356.696,6260.679999999999,5776.124000000002,557.0,886.0,93.0,-8822300284225218179,6145.15752,5337.876400000002
171,8,1,84,884,10362.351999999997,3291.0799999999995,6383.092000000001,84.0,884.0,136.0,-8822300284014344310,3163.4181599999993,6152.7164
172,8,1,470,882,259.84,15237.44,18200.811999999998,470.0,882.0,38.0,-8822300284123858916,14873.42376,17134.191199999997
173,8,1,174,880,17728.311999999998,3366.9999999999995,7809.0520000000015,174.0,880.0,87.0,-8822300284218227885,3210.8189599999996,7573.362000000002
175,8,1,879,862,226.352,12592.400000000001,15563.228,879.0,862.0,206.0,-8822300284095897740,12281.135440000002,14681.759999999998
177,8,1,351,757,1403.304,1335.1599999999999,21093.872000000007,351.0,757.0,61.0,-8822300284113373475,913.2825599999996,21000.410800000005
180,8,1,204,651,1367.5760000000002,1342.48,20879.944,204.0,651.0,11.0,-8822300284166965729,924.88112,20785.9704
181,8,1,468,676,20164.424,4022.2000000000003,8978.583999999999,468.0,676.0,144.0,-8822300283986383134,3842.6283200000003,8697.029999999999
182,8,1,26,676,15294.999999999996,5757.679999999999,5390.428,26.0,676.0,71.0,-8822300284236868669,5649.871439999999,4987.3904
