,IndexX,IndexY,ImageX,ImageY,R,oldG,oldB,RX,RY,Well_ID,Hash,G,B,PlaneX,PlaneY,Cluster,Label,Barcode
124,8,1,644,834,1241.1279999999995,1233.04,19563.872,644.0,834.0,217.0,-8822300284071431711,841.7625599999999,19477.5592,-0.018523057006951775,0.8067859823718261,4,LB4,"[45, 0, 5]"
125,8,1,379,834,1701.84,1683.8000000000006,26725.903999999995,379.0,834.0,269.0,-8822300284467548371,1149.2819200000004,26608.037999999997,-0.018756749394773627,0.8064356262878795,4,LB4,"[45, 0, 5]"
126,8,1,146,835,240.8,12836.840000000002,15538.544000000005,146.0,835.0,50.0,-8822300284100557936,12526.069120000002,14639.965200000002,0.448255678731742,0.06834412388274691,0,LB3,"[30, 20, 0]"
128,8,1,172,830,239.456,13445.960000000005,16060.716,172.0,830.0,60.0,-8822300284112208426,13124.745680000005,15119.498799999998,0.45237414601545495,0.061624616549822375,0,LB3,"[30, 20, 0]"
129,8,1,587,812,19688.48,3697.76,8079.420000000001,587.0,812.0,13.0,-8822300284169295827,3536.1716,7820.576800000002,-0.5202831234445033,-0.49618171918490367,2,PAO1_OD04_2,"[15, 5, 30]"
130,8,1,232,810,20251.336000000007,3855.84,8670.476,232.0,810.0,35.0,-8822300284120363769,3682.4304799999995,8400.567200000001,-0.5124245232320496,-0.48039336247735537,2,PAO1_OD04_2,"[15, 5, 30]"
131,8,1,350,809,285.7680000000001,14776.399999999998,17325.311999999998,350.0,809.0,138.0,-8822300284016674408,14429.893759999995,16290.963999999998,0.45616462331243357,0.05080534245142587,0,LB3,"[30, 20, 0]"
132,8,1,910,807,17311.784,3355.5199999999995,7430.0880000000025,910.0,807.0,99.0,-8822300284194926905,3206.9182399999995,7195.201600000001,-0.508945468001595,-0.48075149271355766,2,PAO1_OD04_2,"[15, 5, 30]"
133,8,1,441,807,275.016,15193.32,17881.484,441.0,807.0,227.0,-8822300284045800633,14835.69032,16817.9516,0.45603778137130047,0.053470624549194934,0,LB3,"[30, 20, 0]"
135,8,1,322,785,19497.072,3840.36,8593.364,322.0,785.0,102.0,-8822300284198422052,3668.49272,8324.5388,-0.5026525006482417,-0.47129174759854847,2,PAO1_OD04_2,"[15, 5, 30]"
136,8,1,558,783,21048.384,4077.12,8959.952,558.0,783.0,199.0,-8822300284087742397,3897.92096,8674.5536,-0.51011377384647,-0.48397786543616444,2,PAO1_OD04_2,"[15, 5, 30]"
139,8,1,760,782,20148.072,3918.08,8637.972,760.0,782.0,12.0,-8822300284168130778,3745.32056,8363.7064,-0.5085005151994612,-0.4814346813784274,2,PAO1_OD04_2,"[15, 5, 30]"
140,8,1,27,782,224.44799999999998,12281.399999999998,14974.008,27.0,782.0,272.0,-8822300284433761950,11981.91984,14114.31,0.4467009516803539,0.07248833679733219,0,LB3,"[30, 20, 0]"
141,8,1,292,781,22770.72,4385.280000000002,10113.164000000002,292.0,781.0,195.0,-8822300284083082201,4183.016720000001,9806.194400000002,-0.5056511999253169,-0.4664737336972464,2,PAO1_OD04_2,"[15, 5, 30]"
142,8,1,204,781,16693.376,6044.08,5655.6280000000015,204.0,781.0,124.0,-8822300284186771562,5930.967439999999,5232.5424,-0.38634643591589635,-0.6243268231737132,7,PAO1_OD04_1,"[10, 10, 30]"
143,8,1,470,780,278.76800000000003,13840.4,16577.515999999996,470.0,780.0,41.0,-8822300284127354063,13508.849680000001,15608.687999999995,0.45005933140099275,0.061948951675209085,0,LB3,"[30, 20, 0]"
144,8,1,352,780,20902.840000000004,3989.16,8988.784000000001,352.0,780.0,61.0,-8822300284113373475,3809.3843199999988,8709.542800000001,-0.5114467950969315,-0.4788101557449904,2,PAO1_OD04_2,"[15, 5, 30]"
145,8,1,939,779,16659.944,3235.5999999999995,7194.672000000001,939.0,779.0,230.0,-8822300284049295780,3091.70656,6968.18,-0.5077965374642704,-0.4784263332544126,2,PAO1_OD04_2,"[15, 5, 30]"
146,8,1,290,758,17258.528000000002,6370.000000000001,5944.491999999998,290.0,758.0,195.0,-8822300284083082201,6251.110160000001,5498.591999999999,-0.37945844263116535,-0.6208943482817432,7,PAO1_OD04_1,"[10, 10, 30]"
